index,orig_index,summary,protagonist,protagonist_type,antagonist,central_topic,valence,moral,moral+,moral-
0,0,"In a time when magic and adventure were commonplace, an old couple without children found a large, ripe peach floating in a stream. Upon bringing it home, the peach split open to reveal a boy, whom they named Momotaro, or ""Eldest Son of the Peach."" Raised by the couple, Momotaro grew into the bravest and stoutest boy in the land. One day, he decided to embark on an adventure to Ogre Island to claim the ogres' treasure. Equipped with millet dumplings made by his adoptive mother, he set off and along the way, recruited a monkey, a pheasant, and a dog by sharing his dumplings with them. Together, they reached Ogre Island, where they executed a plan to defeat the ogres. The pheasant attacked from the air, the monkey from the walls, the dog and Momotaro broke through the gates, and after a fierce battle, they overcame the ogres, binding the survivors. They then claimed the ogres' vast treasure, which included magic jewels, invisibility caps and coats, and riches of gold, silver, jade, coral, amber, tortoise-shell, and mother-of-pearl, sharing it among themselves. Momotaro and his companions returned home as heroes, grateful for their shared victory and the treasures they had won.",momotaro,hero,ogres,adventure and bravery,5,"Courage, teamwork, and kindness can overcome even the greatest of challenges",Courage and teamwork,Oppression
1,2,"The story revolves around a quarrelsome tailor and his pious and industrious wife, whom he constantly mistreated despite her efforts to please him. His abusive behavior eventually led to his imprisonment, where he was forced to promise to live peacefully with his wife. However, he soon reverted to his abusive ways, cleverly avoiding breaking his promise by not beating her but instead tearing out her hair and throwing objects at her. When his wife sought help, the tailor was summoned before the magistrates, where he cunningly argued that he had kept his promise by sharing ""joy and sorrow"" with her—joy when he hit her and sorrow when he missed. Unconvinced, the judges gave him the punishment he deserved for his actions.",narrator,villain,none,domestic abuse,1,"Abusive behavior and clever manipulation of words cannot justify wrongdoing, and such actions will ultimately lead to deserved punishment",Accountability for one's actions,Abuse and manipulation
2,5,"In a time long ago when tigers had no stripes and rabbits still had tails, a tiger owned an overgrown farm and sought help to clear it, offering an ox as payment. Various animals tried and failed to complete the task satisfactorily: the monkey was too inconsistent, the goat lacked strategy, and the armadillo was too distracted by his appetite. The rabbit, despite initial skepticism from the tiger, proved to be an efficient worker and was hired. However, when the tiger went hunting, the rabbit attempted to deceive the tiger's son to claim his payment prematurely but was caught. The tiger, upon return, supervised the rabbit until the farm was cleared and handed over the promised ox. The rabbit, tasked with killing the ox where there were no flies or mosquitoes, eventually found such a place, but was then tricked into sharing the ox with the tiger, who ate it all. Angered, the rabbit later tricked the tiger into being trapped within a stockade under the pretense of an impending danger. Despite the tiger's pleas, no animal helped him escape. The tiger eventually broke free, but not without sustaining injuries that left him with stripes, explaining the tiger's appearance as we know it today.",rabbit,hero,tiger,cunning and retribution,3,Intelligence and cunning can overcome strength and that deceit and unfairness may eventually lead to retribution,Cleverness and fairness,Deception and exploitation
3,6,"In a tale of consequence and cunning, an old woman, plagued by a thieving cat that laps up the milk she stores, retaliates by severing the cat's tail. Desperate to reclaim her tail, the cat embarks on a complex barter journey. She promises the old woman to return the stolen milk in exchange for her tail, leading her to negotiate with a series of characters: a goat needing boughs, a tree requiring water, a water-carrier wanting shoes, a shoemaker demanding an egg, and finally, a hen asking for barley. The cat ingeniously fulfills each request, starting from gathering barley for the hen to eventually retrieving her tail from the old woman. Despite her efforts, the cat fails to reattach her tail, serving as a perpetual reminder of her misdeeds. The story encapsulates the morals that wickedness inevitably leads to punishment, valuable achievements demand labor, and the stains of significant sins are indelible.",cat,"victim, villain",none,consequences of theft,2,"Wickedness is always punished, nothing valuable can be obtained without labor, and the mark of a great sin cannot be erased",Honesty and hard work,Stealing
4,7,"In a farmhouse near Valley Forge, the Tory Manheim and his ill daughter, who has just returned from a secret mission to warn her lover in the American camp about a plot against George Washington, are visited by Washington himself seeking shelter from a storm. Unaware of his daughter's actions and plotting to claim a reward for Washington's assassination, Manheim and his men decide to kill Washington in his sleep. However, in a tragic twist, Manheim mistakenly kills his own daughter, who had switched rooms with Washington to protect him. Washington leaves the house, unaware of the attempted assassination or the sacrifice made for him, while Manheim is left to confront the horror of his actions and the loss of his daughter.",daughter,"hero, victim",tory manheim,sacrifice and betrayal,1,"Acts of self-sacrifice and loyalty can have profound impacts, often averting tragedy at great personal cost",Self-sacrifice for the greater good,Betrayal for personal gain
5,9,"Gobborn Seer sends his son Jack to sell a sheepskin with the condition of bringing back both the skin and its value. After failing multiple times, Jack meets a witty girl who helps him by washing the skin, removing the wool, and paying him its value. Impressed, Gobborn suggests Jack marry the girl, which he does. Later, Gobborn and Jack are tasked by a king to build an extraordinary castle. During the construction, Jack's wife advises them to be friendly with the servants, which aids their progress. Upon completion, they learn the king plans to kill them to keep their architectural skills exclusive. Gobborn sends the king's son to Jack's wife with a message, and she cleverly traps him, leveraging his release for their safety. They return home safely, and Gobborn promises to build an even grander castle for Jack and his wife, where they live happily ever after.",jack,hero,king,ingenuity and resourcefulness,5,Wit and cleverness can overcome difficult situations and lead to success and happiness,Using wit and resourcefulness,Deception and betrayal
6,10,"Titty Mouse and Tatty Mouse, who both lived in a house, went leasing and each found an ear of corn, which they used to make puddings. Tragically, while attempting to cook her pudding, Titty Mouse was scalded to death by the tumbling pot, prompting Tatty Mouse to weep. This sorrow set off a chain reaction among the inanimate objects and living things around them, each reacting to the grief of the other in a domino effect of empathy: the stool hopped, the broom swept, the door jarred, the window creaked, the old form ran around the house, the walnut-tree shed its leaves, a little bird moulted its feathers, and a little girl spilled her milk. An old man, witnessing the girl spilling the milk and hearing the cascade of reasons stemming from Titty Mouse's death, decided to tumble off a ladder, breaking his neck. This final act caused the walnut-tree to fall, destroying the house and ultimately burying Tatty Mouse beneath the ruins, concluding the tragic chain of events initiated by a simple accident.",titty mouse,victim,none,grief and chain reaction,1,"Grief and tragedy can have far-reaching effects, impacting not just the immediate victims but also the wider community and environment in a cascading chain of reactions",Empathy and communal support,Overreaction
7,11,"In a distant Russian land, a stepmother favored her own daughter over her stepdaughter, treating the latter with disdain despite her kindness. One day, she demanded her husband leave his daughter in the freezing wilderness. The old man, heartbroken, complied but couldn't bear to watch his daughter's demise. Alone, the stepdaughter prayed fervently until Father Frost, the sovereign of winter, appeared. Moved by her gentleness and resilience, Father Frost rewarded her with a trunk full of treasures and exquisite garments, transforming her into a radiant maiden. Upon her return, the stepmother, envious of the stepdaughter's fortune, sent her own daughter to the same fate, hoping for similar riches. However, her daughter's rudeness angered Father Frost, who then froze her to death. The stepmother's wickedness and envy ultimately led to her own daughter's demise, a tragic end that she was forced to confront when faced with the frozen body of her child.",stepdaughter,"hero, victim",step mother,kindness and cruelty,3,Kindness and goodness in the face of adversity and cruelty can lead to unexpected rewards and justice,Kindness in adversity,Cruelty and envy
8,12,"In this story, a poor pious peasant and a very rich lord both die and arrive at the gates of heaven. Saint Peter, holding the key, opens the gate and ushers the rich lord into heaven with much fanfare, including music and singing, but seems to ignore the peasant, closing the gate behind him. After the celebrations for the rich man cease, Saint Peter reopens the gate and admits the peasant into heaven quietly, without any of the previous rejoicing. Feeling slighted, the peasant inquires why his entrance was not celebrated in the same manner as the rich man's. Saint Peter explains that the peasant is equally valued in heaven and will enjoy the same heavenly delights, but the reason for the difference in reception is that poor individuals like the peasant arrive in heaven every day, whereas a rich man's arrival is a rare event, happening only once in a hundred years, hence the special celebration.",peasant,victim,none,partiality in the afterlife,3,"Heavenly rewards do not reflect earthly wealth or status, but rather, everyone is valued equally in the eyes of the divine, with differences in reception highlighting the rarity rather than the value of the individual",Humility,Showing partiality
9,14,"In a Canadian forest long ago, two little children, a boy and a girl, lived with their widowed mother who struggled to provide for them due to her late husband's absence. Often left alone due to their mother's hunting trips, the children grew unruly and disobedient. One day, despite their mother's warning, they caused an accident with boiling bear-fat that left them blind. Their unruliness ceased, but their lives were filled with darkness until an old woman from the Land of the Little People granted them a single eye to share. This eye allowed them some sight, improving their lives until one day, while their mother was away, they lost the eye to a woodpecker during a quarrel. The old woman, discovering their carelessness and deceit, punished them by transforming the boy into a mole and the girl into a bat, condemning them to live in blindness, guided only by sound, thus explaining the origins of these creatures.",children,victim,none,disobedience and its consequences,2,Disobedience and carelessness can lead to irreversible consequences and suffering,Obedience,Disobedience
